Sanidad,Factor,Alm
HLB+,0,0.342103448
HLB+,0,0.187275862
HLB+,0,0.341068966
HLB+,0,0.401068966
HLB+,0,0.146241379
HLB+,0,0.179
HLB+,0,0.396241379
HLB+,0,0.39762069
HLB+,0,0.157275862
HLB+,0,0.410034483
HLB+,0,0.144172414
HLB+,0,0.471068966
HLB+,0,0.47037931
HLB+,0,0.294862069
HLB+,0,0.532448276
HLB+,0,0.236241379
HLB+,0,0.293482759
HLB+,1,0.081068966
HLB+,1,0.079
HLB+,1,0.102103448
HLB+,1,0.069
HLB+,1,0.327965517
HLB+,1,0.386586207
HLB+,1,0.527965517
HLB+,1,0.189344828
HLB+,1,0.18762069
HLB+,1,0.132793103
HLB+,1,0.163137931
HLB+,1,0.814172414
HLB+,1,0.80037931
HLB+,1,0.714517241
HLB+,1,0.741068966
HLB+,1,0.454862069
HLB+,1,0.426241379
HLB+,2,0.498655172
HLB+,2,0.56037931
HLB+,2,0.609344828
HLB+,2,0.488310345
HLB+,2,0.738310345
HLB+,2,0.455896552
HLB+,2,0.468655172
HLB+,2,0.243137931
HLB+,2,0.232793103
HLB+,2,0.382793103
HLB+,2,0.296586207
HLB+,2,0.732448276
HLB+,2,0.913137931
HLB+,2,0.679689655
HLB+,2,0.574172414
