Sanidad,Factor,Alm
HLB-,0,0.045206897
HLB-,0,0.024862069
HLB-,0,0.031068966
HLB-,0,0.098310345
HLB-,0,0.074517241
HLB-,0,0.081413793
HLB-,0,0.053827586
HLB-,0,0.031413793
HLB-,0,0.033482759
HLB-,0,0.026931034
HLB-,0,0.130724138
HLB-,0,0.081413793
HLB-,0,0.032448276
HLB-,0,0.038310345
HLB-,0,0.084172414
HLB-,0,0.03762069
HLB-,0,0.084172414
HLB-,0,0.050724138
HLB-,1,0.052793103
HLB-,1,0.107275862
HLB-,1,0.054517241
HLB-,1,0.028310345
HLB-,1,0.123827586
HLB-,1,0.084517241
HLB-,1,0.049689655
HLB-,1,0.096241379
HLB-,1,0.272793103
HLB-,1,0.255551724
HLB-,1,0.174172414
HLB-,1,0.134517241
HLB-,1,0.042448276
HLB-,1,0.111413793
HLB-,1,0.141068966
HLB-,1,0.107965517
HLB-,1,0.156241379
HLB-,1,0.095206897
HLB-,2,0.043137931
HLB-,2,0.050034483
HLB-,2,0.04037931
HLB-,2,0.064517241
HLB-,2,0.15037931
HLB-,2,0.079689655
HLB-,2,0.038310345
HLB-,2,0.056241379
HLB-,2,0.018310345
HLB-,2,0.020034483
HLB-,2,0.123482759
HLB-,2,0.169689655
HLB-,2,0.089
HLB-,2,0.087965517
HLB-,2,0.06762069
HLB-,2,0.075206897
HLB-,2,0.099344828
HLB-,2,0.078655172
