Sanidad,Factor,Sac
HLB+,0,6.51800836
HLB+,0,7.092544051
HLB+,0,5.507618006
HLB+,0,3.962315113
HLB+,0,11.47090225
HLB+,0,5.289690675
HLB+,0,7.40952926
HLB+,0,3.585895177
HLB+,0,2.793432154
HLB+,0,8.003876527
HLB+,1,9.767106752
HLB+,1,7.964253376
HLB+,1,3.229286817
HLB+,1,10.08409196
HLB+,1,9.985034084
HLB+,1,17.63230225
HLB+,1,7.647268167
HLB+,1,7.766137621
HLB+,1,7.964253376
HLB+,2,5.210444373
HLB+,2,5.80479164
HLB+,2,7.290659807
HLB+,2,2.872678457
HLB+,2,5.725545338
HLB+,2,3.387779421
HLB+,2,4.635908682
HLB+,2,6.894428296
HLB+,2,7.726514469
HLB-,0,10.36145402
HLB-,0,7.746326045
HLB-,0,4.219865595
HLB-,0,1.347187138
HLB-,0,0.158492605
HLB-,0,0.475477814
HLB-,0,0.495289389
HLB-,0,0.931144051
HLB-,0,0.673593569
HLB-,1,1.050013505
HLB-,1,0.871709325
HLB-,1,1.366998714
HLB-,1,0.673593569
HLB-,1,0.316985209
HLB-,1,1.426433441
HLB-,1,0.871709325
HLB-,1,0.792463023
HLB-,1,1.010390354
HLB-,2,1.862288103
HLB-,2,1.466056592
HLB-,2,0.768689132
HLB-,2,0.455666238
HLB-,2,0.594347267
HLB-,2,0.733028296
HLB-,2,3.209475241
HLB-,2,0.752839871
HLB-,2,0.871709325
