Sanidad,Factor,Clor
HLB+,0,1.457884
HLB+,0,1.3762915
HLB+,0,1.192199
HLB+,0,1.105816
HLB+,0,1.398904
HLB+,0,1.4467225
HLB+,0,1.3718195
HLB+,0,1.355801
HLB+,0,0.9768865
HLB+,0,1.0450605
HLB+,0,1.2354425
HLB+,0,1.2485725
HLB+,0,1.2710595
HLB+,0,1.3546495
HLB+,0,1.013951
HLB+,0,1.055613
HLB+,0,1.0280095
HLB+,0,1.0701615
HLB+,0,1.1427915
HLB+,0,1.1276565
HLB+,0,1.3788705
HLB+,1,1.4145345
HLB+,1,1.3341245
HLB+,1,1.317586
HLB+,1,1.2183475
HLB+,1,1.023457
HLB+,1,0.9934025
HLB+,1,1.116702
HLB+,1,1.1332855
HLB+,1,1.066159
HLB+,1,1.0505115
HLB+,1,1.2860465
HLB+,1,1.134556
HLB+,1,1.2375955
HLB+,1,1.075704
HLB+,1,1.1497265
HLB+,1,1.056351
HLB+,1,0.8453955
HLB+,1,0.8284335
HLB+,1,0.9546665
HLB+,1,0.9774655
HLB+,1,1.1953685
HLB+,1,1.033616
HLB+,2,1.079868
HLB+,2,1.116985
HLB+,2,1.431565
HLB+,2,1.3096025
HLB+,2,1.08667
HLB+,2,1.10577
HLB+,2,0.8453955
HLB+,2,0.8284335
HLB+,2,0.9546665
HLB+,2,0.9774655
HLB+,2,1.1953685
HLB+,2,1.033616
HLB+,2,1.5159925
HLB+,2,1.40339
HLB+,2,1.2001525
HLB+,2,1.2793175
HLB-,0,1.647345
HLB-,0,1.7030795
HLB-,0,1.6422875
HLB-,0,1.7096295
HLB-,0,1.723658
HLB-,0,1.7475185
HLB-,0,1.754744
HLB-,0,1.717316
HLB-,0,1.565477
HLB-,0,1.476732
HLB-,0,1.574864
HLB-,0,1.69223
HLB-,0,1.556907
HLB-,0,1.1145855
HLB-,0,1.177925
HLB-,0,1.217879
HLB-,0,1.0686315
HLB-,0,1.3945745
HLB-,0,1.4529455
HLB-,0,1.4537165
HLB-,0,1.3836725
HLB-,1,2.001625
HLB-,1,2.0334165
HLB-,1,1.6920445
HLB-,1,1.542589
HLB-,1,1.975082
HLB-,1,1.8822475
HLB-,1,1.947502
HLB-,1,1.961716
HLB-,1,1.626685
HLB-,1,1.7238585
HLB-,1,1.5982055
HLB-,1,1.604243
HLB-,1,1.6752015
HLB-,1,1.66704
HLB-,1,1.6099535
HLB-,1,1.5755695
HLB-,1,1.492892
HLB-,1,1.4161255
HLB-,1,1.119346
HLB-,1,1.332602
HLB-,1,1.4270875
HLB-,1,1.52995
HLB-,1,1.5639975
HLB-,2,1.933243
HLB-,2,1.8455015
HLB-,2,1.7482765
HLB-,2,1.416846
HLB-,2,1.825191
HLB-,2,1.9194085
HLB-,2,1.8577105
HLB-,2,1.8631615
HLB-,2,1.446091
HLB-,2,1.448111
HLB-,2,1.482718
HLB-,2,1.5620985
HLB-,2,1.6090775
HLB-,2,1.5632125
HLB-,2,1.4910875
HLB-,2,1.493397
HLB-,2,1.4258245
HLB-,2,1.4696845
HLB-,2,1.378957
HLB-,2,1.508042
HLB-,2,1.0878365
HLB-,2,1.3553255
