Sanidad,Factor,Clor
HLB-,0,1.647345
HLB-,0,1.7030795
HLB-,0,1.6422875
HLB-,0,1.7096295
HLB-,0,1.723658
HLB-,0,1.7475185
HLB-,0,1.754744
HLB-,0,1.717316
HLB-,0,2.001625
HLB-,0,2.0334165
HLB-,0,1.6920445
HLB-,0,1.542589
HLB-,0,1.975082
HLB-,0,1.8822475
HLB-,0,1.947502
HLB-,0,1.961716
HLB-,0,1.933243
HLB-,0,1.8455015
HLB-,0,1.7482765
HLB-,0,1.416846
HLB-,0,1.825191
HLB-,0,1.9194085
HLB-,0,1.8577105
HLB-,0,1.8631615
HLB-,1,1.565477
HLB-,1,1.476732
HLB-,1,1.574864
HLB-,1,1.69223
HLB-,1,1.556907
HLB-,1,1.626685
HLB-,1,1.7238585
HLB-,1,1.5982055
HLB-,1,1.604243
HLB-,1,1.6752015
HLB-,1,1.66704
HLB-,1,1.6099535
HLB-,1,1.5755695
HLB-,1,1.446091
HLB-,1,1.448111
HLB-,1,1.482718
HLB-,1,1.5620985
HLB-,1,1.6090775
HLB-,1,1.5632125
HLB-,1,1.4910875
HLB-,1,1.493397
HLB-,2,1.1145855
HLB-,2,1.177925
HLB-,2,1.217879
HLB-,2,1.0686315
HLB-,2,1.3945745
HLB-,2,1.4529455
HLB-,2,1.4537165
HLB-,2,1.3836725
HLB-,2,1.492892
HLB-,2,1.4161255
HLB-,2,1.119346
HLB-,2,1.332602
HLB-,2,1.4270875
HLB-,2,1.52995
HLB-,2,1.5639975
HLB-,2,1.4258245
HLB-,2,1.4696845
HLB-,2,1.378957
HLB-,2,1.508042
HLB-,2,1.0878365
HLB-,2,1.3553255
