Sanidad,Factor,tca
HLB+,0,1002.569743
HLB+,0,1313.557661
HLB+,0,1290.559283
HLB+,0,1169.255385
HLB+,0,1097.874648
HLB+,0,1215.381749
HLB+,0,788.8767936
HLB+,0,766.660008
HLB+,0,854.3164133
HLB+,0,760.1117408
HLB+,0,1584.011519
HLB+,0,817.5486405
HLB+,0,1039.417412
HLB+,0,879.1700394
HLB+,0,875.3438831
HLB+,0,1293.362067
HLB+,0,1548.192015
HLB+,0,1067.928405
HLB+,0,1031.54068
HLB+,0,835.9838665
HLB+,0,864.3105734
HLB+,0,1032.54
HLB+,0,1573.18
HLB+,0,1198.47
HLB+,0,1304.13
HLB+,0,1046.93
HLB+,0,868.37
HLB+,0,986.63
HLB+,0,1034.65
HLB+,0,740.98
HLB+,1,1560.13
HLB+,1,1261.2
HLB+,1,1440.1
HLB+,1,1145.394325
HLB+,1,955.0887265
HLB+,1,884.4505593
HLB+,1,787.050918
HLB+,1,1006.558519
HLB+,1,1208.709568
HLB+,1,866.1271824
HLB+,1,1464.665931
HLB+,1,1419.329422
HLB+,1,1010.759227
HLB+,1,967.636242
HLB+,1,1927.642804
HLB+,1,832.7385259
HLB+,1,936.3426691
HLB+,1,1757.713235
HLB+,1,1717.741257
HLB+,1,1627.775949
HLB+,1,1752.337159
HLB+,1,1196.675646
HLB+,1,1063.965594
HLB+,1,1195.298036
HLB+,1,1097.472238
HLB+,1,1112.557302
HLB+,1,952.5973285
HLB+,1,1192.979526
HLB+,1,1287.575981
HLB+,1,1346.465968
HLB+,1,1349.164307
HLB+,2,1345.950227
HLB+,2,1471.965908
HLB+,2,1169.009427
HLB+,2,1462.06306
HLB+,2,1216.968812
HLB+,2,1486.095324
HLB+,2,918.0838043
HLB+,2,1031.396962
HLB+,2,760.6157057
HLB+,2,773.7372149
HLB+,2,1256.016812
HLB+,2,1497.253036
HLB+,2,1643.754108
HLB+,2,1452.773046
HLB+,2,1623.913131
HLB+,2,1722.856022
HLB+,2,1039.01537
HLB+,2,906.5684606
HLB+,2,772.8254
HLB+,2,880.9901733
HLB+,2,1338.886357
HLB+,2,1642.530762
HLB+,2,1492.775373
HLB+,2,1510.659368
HLB+,2,1123.158853
HLB+,2,1122.665548
HLB+,2,1364.548447
HLB+,2,2265.542476
HLB+,2,1437.930909
