Sanidad,Factor,tca
HLB-,0,709.5695956
HLB-,0,677.0836518
HLB-,0,721.915131
HLB-,0,666.8965267
HLB-,0,986.0869746
HLB-,0,838.473459
HLB-,0,797.0734733
HLB-,0,727.9127299
HLB-,0,589.2638298
HLB-,0,578.9644269
HLB-,0,604.8357067
HLB-,0,523.1538648
HLB-,0,619.4301098
HLB-,0,663.2265632
HLB-,0,654.1219566
HLB-,0,762.0509255
HLB-,0,709.352156
HLB-,0,684.4070377
HLB-,0,725.0467638
HLB-,0,577.4489108
HLB-,0,685.6903883
HLB-,0,814.3991463
HLB-,0,1243.109533
HLB-,0,731.2283104
HLB-,0,812.1898685
HLB-,0,757.420762
HLB-,0,1214.673021
HLB-,0,911.164235
HLB-,0,692.0877777
HLB-,0,888.2242379
HLB-,0,657.2728582
HLB-,1,1110.955203
HLB-,1,844.6604024
HLB-,1,772.677317
HLB-,1,693.0369677
HLB-,1,780.9594573
HLB-,1,800.2230691
HLB-,1,616.9392899
HLB-,1,876.4123836
HLB-,1,846.4549799
HLB-,1,1464.665931
HLB-,1,1419.329422
HLB-,1,1010.759227
HLB-,1,967.636242
HLB-,1,1927.642804
HLB-,1,832.7385259
HLB-,1,936.3426691
HLB-,1,1757.713235
HLB-,1,1717.741257
HLB-,1,1627.775949
HLB-,1,782.3090723
HLB-,1,680.5749295
HLB-,1,922.0430978
HLB-,1,609.4794693
HLB-,1,728.2091487
HLB-,1,847.4074293
HLB-,1,651.3571115
HLB-,1,938.541901
HLB-,1,1062.617778
HLB-,1,866.0851653
HLB-,1,1105.304496
HLB-,1,1009.143845
HLB-,2,955.5715133
HLB-,2,624.3389969
HLB-,2,788.812009
HLB-,2,989.9506335
HLB-,2,974.358427
HLB-,2,797.610286
HLB-,2,937.3182102
HLB-,2,754.8519347
HLB-,2,797.0116092
HLB-,2,894.7523652
HLB-,2,668.8210365
HLB-,2,1123.806687
HLB-,2,647.5317751
HLB-,2,864.1501974
HLB-,2,580.3639815
HLB-,2,883.0768969
HLB-,2,994.5713452
HLB-,2,649.86769
HLB-,2,795.9667505
HLB-,2,799.7746131
HLB-,2,1008.423808
HLB-,2,972.8257456
HLB-,2,1200.215861
HLB-,2,1113.741893
HLB-,2,795.7013484
HLB-,2,950.8691197
HLB-,2,1186.522286
HLB-,2,1142.140008
HLB-,2,1092.365961
HLB-,2,874.4150944
